offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Kentucky,SEC,Alabama,SEC,242830096,24283009621,20,False,3,0,100,"{'seconds': 24, 'minutes': 4}",3,31,69,"{'seconds': 18, 'minutes': 4}",1,0,KICKOFF,True,14,24,14,24
Kentucky,SEC,Alabama,SEC,242830096,24283009622,21,False,3,31,69,"{'seconds': 18, 'minutes': 4}",3,27,73,"{'seconds': 27, 'minutes': 3}",3,-4,INCOMPLETE,True,14,24,14,24
Kentucky,SEC,Alabama,SEC,242830096,24283009623,22,False,3,27,73,"{'seconds': 27, 'minutes': 3}",3,12,88,"{'seconds': 27, 'minutes': 3}",1,-15,BLOCKED PUNT,True,14,24,14,24
Alabama,SEC,Kentucky,SEC,242830096,24283009624,23,True,3,12,12,"{'seconds': 27, 'minutes': 3}",3,0,0,"{'seconds': 33, 'minutes': 2}",2,12,RUSHING TD,False,24,14,31,14
Kentucky,SEC,Alabama,SEC,242830096,24283009625,24,False,3,0,100,"{'seconds': 33, 'minutes': 2}",3,26,74,"{'seconds': 27, 'minutes': 2}",1,0,KICKOFF,True,14,31,14,31
Kentucky,SEC,Alabama,SEC,242830096,24283009626,25,True,3,26,74,"{'seconds': 27, 'minutes': 2}",4,66,34,"{'seconds': 48, 'minutes': 11}",10,40,MADE FG,True,14,31,17,31
Alabama,SEC,Kentucky,SEC,242830096,24283009627,26,True,4,100,100,"{'seconds': 48, 'minutes': 11}",4,0,0,"{'seconds': 34, 'minutes': 11}",0,100,KICK RETURN TD,False,37,17,38,17
Kentucky,SEC,Alabama,SEC,242830096,24283009628,27,False,4,0,100,"{'seconds': 34, 'minutes': 11}",4,22,78,"{'seconds': 27, 'minutes': 11}",1,0,KICKOFF,True,17,38,17,38
Kentucky,SEC,Alabama,SEC,242830096,24283009629,28,False,4,22,78,"{'seconds': 27, 'minutes': 11}",4,14,86,"{'seconds': 43, 'minutes': 10}",2,-8,FUMBLE,True,17,38,17,38
Alabama,SEC,Kentucky,SEC,242830096,24283009630,29,True,4,15,15,"{'seconds': 43, 'minutes': 10}",4,0,0,"{'seconds': 31, 'minutes': 10}",2,15,RUSHING TD,False,38,17,45,17
Kentucky,SEC,Alabama,SEC,242830096,24283009631,30,False,4,0,100,"{'seconds': 31, 'minutes': 10}",4,20,80,"{'seconds': 31, 'minutes': 10}",1,0,KICKOFF,True,17,45,17,45
Kentucky,SEC,Alabama,SEC,242830096,24283009632,31,False,4,20,80,"{'seconds': 31, 'minutes': 10}",4,31,69,"{'seconds': 59, 'minutes': 9}",3,11,FUMBLE,True,17,45,17,45
Alabama,SEC,Kentucky,SEC,242830096,24283009633,32,False,4,29,29,"{'seconds': 59, 'minutes': 9}",4,24,24,"{'seconds': 35, 'minutes': 7}",4,5,POSS. ON DOWNS,False,45,17,45,17
Kentucky,SEC,Alabama,SEC,242830096,24283009634,33,False,4,24,76,"{'seconds': 35, 'minutes': 7}",4,29,71,"{'seconds': 36, 'minutes': 6}",3,5,PUNT,True,17,45,17,45
Alabama,SEC,Kentucky,SEC,242830096,24283009635,34,False,4,83,83,"{'seconds': 36, 'minutes': 6}",4,39,39,"{'seconds': 5, 'minutes': 1}",9,44,RUSH,False,45,17,45,17
Georgia Tech,ACC,Maryland,ACC,242830120,24283012001,1,False,1,84,84,"{'seconds': 55, 'minutes': 14}",1,75,75,"{'seconds': 15, 'minutes': 14}",3,9,PUNT,False,0,0,0,0
