game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401441992,2022,11,regular,away,284,Stonehill,NEC,2341,Long Island University,NEC,18-45,0,23,1-3,1,3,0,0,1,0,78,4,4,195,0,0,1,28:22,0,5,1,0,34,3,150,0,0,0,6-16,3,6-44,345,2,4.3,4.4
401441992,2022,11,regular,home,2341,Long Island University,NEC,284,Stonehill,NEC,19-29,0,22,1-1,3,1,0,11,0,0,35,3,4,333,0,1,3,31:38,0,15,3,0,37,2,123,0,0,0,5-13,3,11-109,456,3,11.5,3.3
401441993,2022,1,postseason,away,193,Miami (OH),Mid-American,5,UAB,Conference USA,15-27,0,19,4-5,0,2,0,45,0,0,0,0,2,162,1,1,2,26:33,0,25,1,0,37,1,110,2,2,2,4-14,0,5-51,272,0,6.0,3.0
401441993,2022,1,postseason,home,5,UAB,Conference USA,193,Miami (OH),Mid-American,17-28,0,23,1-3,2,0,0,0,1,0,0,1,6,252,0,0,1,33:27,0,-8,2,0,38,2,138,4,2,4,7-12,3,7-75,390,3,9.0,3.6
401441994,2022,1,postseason,away,2636,UTSA,Conference USA,2653,Troy,Sun Belt,23-42,0,20,1-3,3,0,0,0,2,0,4,1,4,194,3,2,1,26:44,0,13,2,1,32,0,151,6,44,14,4-13,5,9-104,345,5,4.6,4.7
401441994,2022,1,postseason,home,2653,Troy,Sun Belt,2636,UTSA,Conference USA,13-24,0,17,1-2,0,3,0,75,2,0,54,3,4,113,6,2,1,33:16,0,0,1,0,42,1,40,2,36,4,2-15,2,2-21,153,2,4.7,1.0
401441995,2022,1,postseason,away,2132,Cincinnati,American Athletic,97,Louisville,ACC,7-15,0,10,1-2,2,2,0,39,0,0,119,5,1,83,2,2,1,27:31,0,0,0,0,38,0,44,1,1,1,2-13,3,3-25,127,2,5.5,1.2
401441995,2022,1,postseason,home,97,Louisville,ACC,2132,Cincinnati,American Athletic,13-23,0,24,1-1,2,2,0,0,2,0,18,1,6,132,0,0,1,32:03,0,10,3,0,49,2,287,7,5,7,7-14,2,5-25,419,4,5.7,5.9
401441996,2022,1,postseason,away,2296,Jackson State,SWAC,2428,North Carolina Central,MEAC,30-41,0,24,2-3,1,0,0,0,0,0,128,7,4,353,0,0,4,17:20,0,0,0,0,24,1,74,0,0,0,5-12,2,5-53,427,1,8.6,3.1
401441996,2022,1,postseason,home,2428,North Carolina Central,MEAC,2296,Jackson State,SWAC,16-21,0,22,2-2,0,1,0,0,0,0,24,1,9,206,0,0,1,38:09,0,3,2,0,44,4,276,0,0,0,4-11,1,8-86,482,0,9.8,6.3
