game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401259671,2020,15,regular,home,2653,Troy,Sun Belt,324,Coastal Carolina,Sun Belt,34-55,0,29,2-2,1,0,0,4,2,0,98,4,12,354,1,1,2,23:32,0,0,1,2,26,2,89,1,23,4,8-15,0,3-19,443,3,6.4,3.4
401260157,2020,15,regular,away,2,Auburn,SEC,344,Mississippi State,SEC,15-32,0,19,1-2,0,0,0,59,0,0,47,1,10,125,7,2,1,30:56,0,5,1,2,36,1,218,6,34,8,5-16,0,8-80,343,0,3.9,6.1
401260157,2020,15,regular,home,344,Mississippi State,SEC,2,Auburn,SEC,30-51,0,17,0-2,0,0,0,0,2,0,91,2,4,221,3,0,1,29:04,0,0,0,5,16,0,19,0,29,1,4-16,0,7-90,240,2,4.3,1.2
401260158,2020,16,regular,away,245,Texas A&M,SEC,2633,Tennessee,SEC,26-32,0,28,0-0,0,1,0,0,1,0,0,0,10,281,0,1,1,44:12,0,0,0,0,47,3,216,3,19,4,10-14,0,4-30,497,1,8.8,4.6
401260158,2020,16,regular,home,2633,Tennessee,SEC,245,Texas A&M,SEC,12-20,0,13,1-1,1,0,0,45,1,0,35,1,1,189,1,1,2,15:48,0,0,0,0,17,0,24,0,47,2,1-6,0,6-55,213,2,9.5,1.4
401261245,2020,15,regular,away,221,Pittsburgh,ACC,59,Georgia Tech,ACC,17-34,0,28,1-3,0,1,0,-2,1,0,70,3,14,196,4,2,1,37:51,0,8,1,1,54,2,317,3,31,6,8-17,2,6-60,513,1,5.8,5.9
401261245,2020,15,regular,home,59,Georgia Tech,ACC,221,Pittsburgh,ACC,19-36,0,21,3-4,1,0,0,6,2,0,5,1,2,250,4,1,2,22:09,0,0,0,2,29,1,98,2,44,5,5-14,2,8-86,348,3,6.9,3.4
401261454,2020,11,regular,away,25,California,Pac-12,26,UCLA,Pac-12,18-34,0,11,0-2,0,0,0,20,1,0,0,0,4,122,4,1,0,26:18,0,9,1,5,28,1,54,0,41,2,4-14,0,5-33,176,1,3.6,1.9
401261454,2020,11,regular,home,26,UCLA,Pac-12,25,California,Pac-12,14-26,0,23,2-4,0,0,0,13,1,0,54,2,4,196,5,1,3,33:42,0,0,0,1,54,2,244,5,29,9,7-15,0,6-50,440,1,7.5,4.5
401261674,2020,12,regular,away,113,Massachusetts,FBS Independents,2226,Florida Atlantic,Conference USA,15-30,0,8,0-2,0,1,0,0,2,0,13,1,0,85,4,0,0,25:10,0,42,3,2,25,0,62,6,39,14,3-14,0,5-69,147,2,2.8,2.5
