game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
332640295,2013,4,regular,away,2643,The Citadel,Southern,295,Old Dominion,0,5-9,28,3-3,3,1,0,0,0,0,15,2,10,113,0,1,35:03,0,44,2,59,7,453,7-10,5-48,566,3,12.6,7.7
332640295,2013,4,regular,home,295,Old Dominion,0,2643,The Citadel,Southern,35-42,30,1-1,1,3,0,0,0,0,74,5,9,363,0,3,24:26,0,0,0,33,5,179,7-11,8-60,542,1,8.6,5.4
332640333,2013,4,regular,away,36,Colorado State,Mountain West,333,Alabama,SEC,24-38,13,0-1,1,0,0,0,0,0,116,6,6,228,1,0,31:10,0,0,1,26,0,51,4-15,4-35,279,1,6.0,2.0
332640333,2013,4,regular,home,333,Alabama,SEC,36,Colorado State,Mountain West,21-27,16,1-1,0,1,0,0,1,0,60,3,7,272,0,2,28:50,1,60,6,21,1,66,2-10,2-15,338,1,10.1,3.1
332640344,2013,4,regular,away,2653,Troy,Sun Belt,344,Mississippi State,SEC,17-31,11,0-1,1,0,0,0,1,0,73,5,1,139,0,1,23:02,0,0,0,26,0,47,3-14,7-80,186,2,4.5,1.8
332640344,2013,4,regular,home,344,Mississippi State,SEC,2653,Troy,Sun Belt,17-27,30,0-0,0,1,1,70,0,0,21,2,14,316,1,2,36:03,0,5,2,44,5,235,8-12,3-30,551,0,11.7,5.3
332640349,2013,4,regular,away,154,Wake Forest,ACC,349,Army,FBS Independents,6-17,18,1-1,1,2,0,0,1,0,24,1,5,132,0,1,27:35,0,21,2,45,2,228,4-12,9-86,360,2,7.8,5.1
332640349,2013,4,regular,home,349,Army,FBS Independents,154,Wake Forest,ACC,10-18,18,1-2,2,1,0,0,0,0,44,3,9,86,1,0,31:56,0,0,0,55,0,271,5-17,8-45,357,2,4.8,4.9
332642005,2013,4,regular,away,2751,Wyoming,Mountain West,2005,Air Force,Mountain West,35-41,34,1-1,1,1,0,0,0,0,14,1,8,373,0,4,28:26,0,0,0,44,4,249,10-14,10-91,622,1,9.1,5.7
332642005,2013,4,regular,home,2005,Air Force,Mountain West,2751,Wyoming,Mountain West,12-20,24,1-3,1,1,0,0,0,0,72,4,5,127,0,1,31:22,0,-8,1,57,2,346,6-14,7-61,473,1,6.3,6.1
332642006,2013,4,regular,away,309,Louisiana,Sun Belt,2006,Akron,Mid-American,26-38,26,0-1,0,0,0,28,1,0,65,4,5,304,2,3,33:06,0,0,2,43,2,156,6-15,5-30,460,1,8.0,3.6
332642006,2013,4,regular,home,2006,Akron,Mid-American,309,Louisiana,Sun Belt,27-43,22,1-1,0,0,0,0,2,0,101,5,6,321,1,3,26:07,0,1,1,27,1,134,4-14,3-23,455,2,7.5,5.0
332642117,2013,4,regular,away,2649,Toledo,Mid-American,2117,Central Michigan,Mid-American,16-23,23,0-0,1,2,0,14,0,0,56,3,8,166,2,1,27:54,0,-1,1,43,3,252,9-12,1-15,418,1,7.2,5.9
332642117,2013,4,regular,home,2117,Central Michigan,Mid-American,2649,Toledo,Mid-American,14-24,23,1-1,2,1,0,0,2,0,0,1,5,214,0,1,32:06,0,0,1,41,1,156,3-9,1-5,370,4,8.9,3.8
332642199,2013,4,regular,away,2050,Ball State,Mid-American,2199,Eastern Michigan,Mid-American,19-31,25,1-1,1,2,0,10,0,0,30,3,9,346,2,2,26:01,0,0,0,38,5,200,5-12,4-43,546,1,11.2,5.3
