season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2006,Northern Illinois,Mid-American,245,226,10,6,19,15,5,15,15,5,13,0,0,50,139,15,7,0,0,0,0,0,0,2775,3285,386,411,217,265,7,15,16,22,62,75,513,724,13879,14333,2,0,291,226,40,28,443,441,20,14,2142,1585,64,68,177,162,4722,4741,20,22
2006,Northwestern,Big Ten,197,225,2,7,11,13,13,12,12,13,12,0,3,179,199,17,11,0,0,0,33,0,2,2190,2568,332,341,188,210,11,17,8,14,39,64,336,539,12887,13266,1,1,98,246,20,38,422,445,16,20,1705,1900,58,65,160,159,3733,4350,30,23
2006,Notre Dame,FBS Independents,279,241,19,7,33,19,8,10,10,8,13,1,2,100,146,7,11,0,0,0,0,0,0,3649,2875,471,339,290,187,11,7,37,24,87,79,695,718,14581,13871,1,0,169,242,33,30,423,468,13,11,1634,1779,70,55,177,160,5067,4423,15,21
2006,Ohio,Mid-American,208,228,6,5,13,17,15,11,11,15,14,0,2,144,299,15,13,0,0,0,0,0,0,1951,2558,331,415,180,217,13,14,9,12,91,80,757,666,15907,14625,1,0,485,65,42,34,525,455,22,16,2067,1828,67,60,194,173,3873,4240,30,24
2006,Ohio State,Big Ten,262,201,7,10,11,17,14,6,6,14,13,3,0,342,0,6,21,0,0,0,0,0,0,2935,2650,340,415,221,242,21,6,31,10,60,48,545,382,14631,13782,1,0,306,119,37,23,480,384,25,9,2208,1278,78,58,159,177,4999,3646,20,27
2006,Oklahoma,Big 12,257,209,7,10,11,22,25,14,14,25,14,3,2,223,132,11,18,0,0,0,0,0,0,2786,2848,340,434,205,225,18,11,22,15,69,77,521,579,16150,14928,1,0,299,82,60,35,557,424,25,10,2480,1382,71,58,177,192,5162,4020,36,32
2006,Oklahoma State,Big 12,269,257,14,10,20,14,10,19,19,10,13,1,1,168,107,11,10,0,0,0,0,0,0,2743,3057,321,372,174,226,10,11,27,20,74,56,614,424,13767,14712,0,2,404,397,38,36,522,473,28,17,2704,1907,74,64,167,165,5327,4733,21,29
2006,Ole Miss,SEC,180,235,10,8,23,12,8,9,9,8,12,0,0,54,184,10,3,0,0,0,0,0,0,1826,2407,280,340,134,203,3,10,9,18,57,58,454,490,12649,14038,1,0,222,216,31,41,422,459,11,13,1505,1907,44,65,150,150,3138,4247,18,12
2006,Oregon,Pac-10,305,233,11,12,26,20,14,8,8,14,13,1,2,180,230,18,15,0,0,0,138,0,7,3218,2399,486,362,288,199,15,18,18,17,98,88,780,769,13646,14876,1,1,400,168,35,23,472,452,26,21,2364,1932,87,62,181,178,5497,4187,32,23
2006,Oregon State,Pac-10,252,215,11,11,18,18,21,18,18,21,14,2,0,214,84,9,17,0,0,0,0,0,0,3613,3394,425,430,259,233,17,8,20,17,84,77,799,668,15330,13257,3,1,480,235,47,31,474,444,20,19,1655,1542,62,50,170,153,5048,4674,30,35
