season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2004,Illinois,Big Ten,220,243,8,9,13,14,16,4,4,16,11,1,0,192,156,8,10,2186,2593,354,359,201,230,9,8,13,20,0,5,0,36,11416,12679,0,1,58,304,5,33,405,461,10,21,1687,2138,66,65,164,157,3719,4664,24,14
2004,Indiana,Big Ten,173,230,7,4,13,15,6,11,11,6,11,2,0,180,42,8,9,2113,2784,271,352,151,200,9,7,13,24,0,0,0,0,11669,10178,1,1,181,220,32,41,425,389,7,16,1338,2033,47,59,148,146,3250,4672,14,20
2004,Iowa,Big Ten,199,202,4,12,11,23,5,18,18,5,12,1,2,141,209,14,17,3168,2588,385,424,239,234,14,13,20,15,0,0,0,0,13819,12455,0,0,260,221,29,39,428,392,10,8,871,1110,65,65,188,191,3752,3526,19,35
2004,Iowa State,Big 12,233,207,7,4,25,16,10,10,10,10,12,4,0,294,72,9,17,2448,2402,351,354,174,193,17,7,13,14,0,7,0,79,13191,13093,1,0,310,381,47,45,536,479,11,18,1701,1670,74,62,209,173,3949,3953,19,27
2004,Kansas,Big 12,185,188,6,9,16,15,12,9,9,12,11,0,0,231,158,14,19,2570,2683,420,375,234,202,19,14,19,16,0,0,0,0,12409,11659,0,1,309,248,40,44,378,389,6,9,1034,1294,60,47,182,167,3459,3800,26,28
2004,Kansas State,Big 12,203,165,10,4,18,8,14,12,12,14,11,3,1,118,193,8,9,1847,2092,280,260,154,139,9,8,11,17,0,0,0,0,12287,9701,0,1,146,253,32,29,439,358,23,19,1884,1474,55,50,146,133,3629,3464,22,21
2004,Kent State,Mid-American,234,183,9,6,25,19,17,6,6,17,11,1,1,386,88,8,15,2727,2386,387,323,243,177,15,7,19,15,0,6,0,33,11810,12230,1,1,272,193,36,23,415,430,24,12,1695,1241,65,45,173,153,4168,3437,25,21
2004,Kentucky,SEC,159,210,7,9,21,20,18,10,10,18,11,0,2,63,156,11,12,1847,2142,323,244,175,141,10,11,7,12,0,0,0,0,10280,11767,0,0,59,251,19,37,320,457,11,25,1021,2305,40,60,142,145,2741,4338,29,22
2004,LSU,SEC,250,158,3,5,7,12,16,11,11,16,12,1,1,241,179,10,14,2667,2179,319,332,179,160,14,10,19,14,0,0,0,0,13731,12446,1,0,269,94,47,37,506,410,20,7,2326,1197,64,52,167,176,4747,3083,26,25
2004,Louisiana,Sun Belt,231,220,6,7,18,12,10,12,12,10,11,2,1,133,135,14,9,2657,1967,397,308,229,185,8,13,12,9,0,6,0,35,11895,12142,0,0,94,93,26,27,421,453,12,20,1680,2348,69,55,171,138,4206,4267,24,21
2004,Louisiana Tech,Western Athletic,219,252,6,13,13,24,19,15,15,19,12,1,1,164,134,11,13,2398,2998,300,383,154,217,9,11,11,25,0,0,0,0,13027,13511,1,2,210,515,41,43,490,487,25,20,2403,2119,49,57,170,164,4560,4894,30,28
2004,Louisville,Conference USA,323,202,13,11,24,25,11,11,11,11,12,1,1,116,132,5,17,3562,2577,359,385,256,195,17,5,27,18,0,0,0,0,13638,12689,2,1,456,235,58,20,534,419,47,10,3005,1308,77,53,158,176,6468,3671,16,28
2004,Marshall,Mid-American,217,211,6,8,18,17,12,10,10,12,12,4,1,235,221,15,19,2697,2928,425,385,248,217,19,15,19,19,0,0,0,0,13198,13200,1,0,331,193,38,32,403,437,11,11,1355,1332,62,47,179,177,3858,4016,27,29
2004,Maryland,ACC,183,202,4,6,11,15,10,11,11,10,11,0,3,50,260,16,6,2199,2070,305,292,161,141,6,16,8,6,0,0,0,0,12403,11912,0,0,211,269,33,33,450,471,12,13,1314,1574,63,47,174,161,3277,3468,26,17
2004,Memphis,Conference USA,249,243,7,4,11,14,6,9,9,6,12,0,1,131,149,11,10,2772,3073,378,392,209,220,10,10,23,26,0,6,0,40,11776,12459,1,1,347,314,35,20,447,434,25,15,2322,1561,76,62,168,146,5061,4474,17,19
2004,Miami,ACC,215,215,4,5,12,11,9,19,19,9,12,0,0,144,10,6,13,2955,2338,370,336,207,170,13,6,22,13,0,0,0,0,13051,13360,7,0,697,139,55,40,422,486,16,11,1572,1860,55,53,169,183,4384,3937,15,32
2004,Miami (OH),Mid-American,284,220,9,12,20,30,18,14,14,18,13,0,2,81,301,16,9,3831,3056,460,414,277,236,9,15,24,24,0,8,0,63,14537,13899,2,0,593,211,46,31,453,480,25,14,1561,1601,64,65,173,188,5196,4404,34,23
