season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2004,Michigan,Big Ten,250,204,4,7,12,16,10,13,13,10,12,2,0,322,217,12,16,2988,2581,415,371,248,207,16,11,25,14,0,0,0,0,13717,12382,2,0,413,338,44,35,481,440,15,18,1843,1600,79,59,194,186,4638,4035,22,29
2004,Michigan State,Big Ten,270,223,4,3,14,13,7,7,7,7,12,0,1,45,241,17,8,2692,2652,399,368,234,202,8,17,16,15,0,0,0,0,12923,13029,2,1,352,375,51,26,500,467,22,17,2862,2069,63,69,174,187,5520,4577,24,15
2004,Middle Tennessee,Sun Belt,219,238,5,10,11,19,11,14,14,11,11,0,2,42,138,16,7,3111,3169,404,356,282,231,7,15,15,20,0,0,0,0,12247,11978,1,0,208,288,26,31,360,415,12,14,1172,1527,68,50,164,147,4117,4535,27,21
2004,Minnesota,Big Ten,245,254,12,4,24,10,4,10,10,4,12,0,1,72,55,9,12,2238,3313,269,451,128,271,11,8,17,15,0,10,0,76,12550,13660,0,0,142,142,38,25,572,424,29,11,3082,1568,66,75,175,170,5260,4760,13,22
2004,Mississippi State,SEC,167,213,2,6,11,13,12,11,11,12,11,1,1,97,108,13,12,1743,1993,290,272,147,159,8,12,9,15,0,4,0,24,11216,12766,1,1,195,270,30,39,401,478,11,16,1744,2094,54,54,151,140,3335,4013,25,23
2004,Missouri,Big 12,213,162,10,2,20,11,7,9,9,7,11,1,2,176,167,11,15,2456,1818,377,277,197,148,15,11,18,10,0,0,0,0,12342,11804,0,1,247,282,37,39,457,428,13,14,1815,1673,76,47,197,160,4098,3315,18,24
2004,NC State,ACC,211,134,7,3,16,10,18,6,6,18,11,1,3,92,259,17,9,2420,1522,343,272,191,118,6,16,12,12,0,9,0,77,12175,12092,3,0,393,365,49,33,435,429,15,6,1617,1126,51,43,163,163,3839,2435,35,15
2004,Navy,FBS Independents,238,230,17,7,26,25,12,7,7,12,12,2,0,160,16,4,12,1291,2482,122,350,65,219,12,2,8,15,0,5,0,28,13342,12962,0,0,162,105,36,18,689,463,36,10,3474,1813,73,54,157,140,4666,4218,16,19
2004,Nebraska,Big 12,194,209,9,8,20,18,13,8,8,13,11,0,1,352,261,23,14,2172,3022,322,448,156,254,14,19,17,15,0,7,0,41,11207,13010,1,0,181,145,45,37,412,390,18,14,1939,1144,45,63,153,175,3995,4088,36,22
2004,Nevada,Western Athletic,283,241,12,9,23,18,13,14,14,13,12,2,1,152,288,14,15,3379,2403,473,299,278,166,15,13,18,15,0,7,0,50,13587,12658,0,1,207,302,25,42,463,517,26,30,1849,2509,68,51,177,144,5025,4793,27,29
2004,New Mexico,Mountain West,193,238,2,12,10,18,8,18,18,8,12,0,0,73,109,12,13,1602,2866,259,396,116,220,13,12,6,13,0,0,0,0,12821,13471,2,0,220,268,37,47,526,463,17,13,2147,1299,55,78,175,194,3576,3878,20,31
2004,New Mexico State,Sun Belt,216,236,10,3,15,11,14,14,14,14,11,2,0,152,64,7,10,2811,2255,340,277,209,176,10,6,18,15,0,0,0,0,11666,12453,0,1,153,132,17,24,406,486,14,22,1422,2437,52,68,150,148,4102,4608,21,24
2004,North Carolina,ACC,222,279,8,11,15,16,8,9,9,8,12,1,1,129,141,11,8,2704,2865,339,361,202,222,8,10,18,12,0,5,0,45,12723,13631,0,0,203,128,34,34,436,501,19,28,2115,2621,62,57,157,146,4688,5358,19,17
2004,North Texas,Sun Belt,200,277,3,9,7,20,10,13,13,10,12,0,1,160,118,4,14,1984,3028,250,404,139,250,11,4,14,13,0,0,0,0,12862,13515,1,2,153,283,27,40,491,466,21,24,2237,2074,50,62,162,162,4128,4970,14,27
2004,Northern Illinois,Mid-American,261,256,12,7,23,18,1,9,9,1,12,1,4,181,193,11,13,2493,2855,305,403,168,239,13,11,22,14,0,6,0,38,12981,13142,1,2,411,275,31,25,550,466,28,17,2858,1837,70,79,174,170,5265,4513,12,22
2004,Northwestern,Big Ten,262,256,10,6,18,14,2,9,9,2,12,0,0,16,85,9,8,2917,3149,463,454,249,255,8,9,12,25,0,0,0,0,12076,14089,1,3,270,465,32,45,445,467,23,16,2066,1671,67,90,190,198,4914,4692,11,17
2004,Notre Dame,FBS Independents,217,224,4,5,15,15,6,12,12,6,12,2,0,201,105,10,9,2760,3572,362,426,195,248,9,10,17,23,0,0,0,0,13609,12743,0,1,358,239,36,38,460,399,16,6,1529,1058,67,63,183,181,4146,4433,16,21
2004,Ohio,Mid-American,162,183,8,8,21,14,11,11,11,11,11,1,3,88,159,11,8,2346,2151,326,315,164,185,8,11,12,12,0,4,0,28,11217,10832,2,1,334,268,34,37,372,376,8,16,1017,1229,47,45,157,133,3027,3284,22,19
2004,Ohio State,Big Ten,185,227,2,6,5,17,17,4,4,17,12,1,0,164,42,9,15,2240,2572,310,430,166,240,15,9,14,15,0,0,0,0,12928,13314,1,0,218,145,31,37,441,444,9,10,1745,1565,60,72,171,197,3850,3984,26,19
2004,Oklahoma,Big 12,310,203,12,7,17,17,9,18,18,9,13,0,2,120,152,9,8,3372,2916,406,410,268,223,8,9,36,15,0,0,0,0,15758,12758,2,0,316,95,57,31,565,402,22,10,2709,1230,100,63,200,182,6007,3887,18,26
2004,Oklahoma State,Big 12,225,237,8,4,18,14,4,18,18,4,12,2,0,167,71,5,11,1809,2793,201,381,104,227,11,5,14,18,0,0,0,0,13933,12485,2,1,426,301,33,35,594,450,32,19,2844,2084,65,79,170,176,4566,4753,9,29
2004,Ole Miss,SEC,213,209,4,6,12,13,11,11,11,11,11,2,0,158,58,13,8,2291,2430,350,313,178,148,8,9,7,11,0,0,0,0,11923,12162,0,1,171,349,40,42,439,449,13,21,1748,2031,46,60,163,162,3861,4293,24,19
2004,Oregon,Pac-10,237,208,10,3,21,10,17,10,10,17,11,2,1,106,88,10,13,2840,2606,388,344,229,182,12,10,22,17,0,0,0,0,12376,11652,1,1,345,245,38,38,429,406,11,10,1746,1343,58,67,159,168,4367,3728,27,23
2004,Oregon State,Pac-10,243,225,6,7,20,13,14,15,15,14,12,0,1,112,185,17,19,3972,2558,532,424,287,186,19,16,29,22,0,0,0,0,13544,12623,0,1,297,302,55,37,378,421,10,10,848,1408,66,49,200,178,4554,3760,31,34
2004,Penn State,Big Ten,167,163,4,6,14,12,8,9,9,8,11,0,1,177,217,17,15,1931,1748,329,288,170,164,15,16,9,5,0,0,0,0,10460,11361,0,1,203,195,41,30,327,397,12,8,1298,1284,52,60,145,158,3105,2932,25,24
2004,Pittsburgh,Big East,232,245,8,6,14,21,6,11,11,6,12,4,1,290,84,7,17,3433,3203,414,452,232,255,17,7,24,21,0,8,0,43,13561,12887,0,0,191,363,42,34,448,441,10,12,1173,1682,71,58,194,172,4294,4745,13,28
2004,Purdue,Big Ten,280,219,7,4,12,13,14,9,9,14,12,0,0,101,93,8,8,4061,3112,486,434,297,241,8,8,38,12,0,0,0,0,12967,13121,0,0,167,123,41,25,424,405,11,6,1504,1264,88,64,189,192,5358,4143,22,17
2004,Rice,Western Athletic,237,207,15,6,34,16,13,7,7,13,11,1,3,130,362,11,13,962,2556,136,283,59,162,13,11,5,26,0,0,0,0,13496,10706,0,3,191,340,25,19,688,397,30,18,3372,1650,64,59,167,137,4200,4010,24,20
2004,Rutgers,Big East,230,236,4,8,15,16,19,18,18,19,11,1,4,104,290,20,12,3571,2976,473,343,303,208,11,19,19,20,0,16,0,122,12206,11803,0,0,143,97,25,22,367,460,9,21,918,1960,68,46,179,141,4334,4716,39,30
2004,SMU,Western Athletic,197,252,7,12,22,25,13,5,5,13,11,1,1,63,201,17,6,2464,2895,351,348,191,213,6,16,11,25,0,0,0,0,11397,12680,0,1,186,499,20,35,410,473,12,26,1377,2306,66,62,163,161,3673,5140,30,11
2004,San Diego State,Mountain West,218,222,12,10,29,18,11,14,14,11,11,1,2,173,234,17,14,2884,2690,444,383,240,207,14,15,7,15,0,6,0,50,11781,12506,0,0,280,168,43,27,377,451,8,13,1432,1526,49,57,170,164,4123,4027,28,28
2004,San José State,Western Athletic,195,256,10,4,24,8,16,9,9,16,11,1,1,110,127,9,13,2154,2153,263,267,135,158,12,9,15,16,0,7,0,44,11377,12769,1,1,203,243,20,27,441,540,22,43,1782,2776,49,67,151,129,3715,4851,25,22
2004,South Carolina,SEC,201,177,7,4,16,8,11,11,11,11,11,2,1,312,142,15,17,2354,2050,280,328,159,174,17,15,13,12,0,0,0,0,13012,11374,0,0,154,111,30,29,464,374,14,12,1856,1517,61,56,162,147,4058,3467,26,28
2004,South Florida,Conference USA,203,240,6,6,15,14,12,8,8,12,11,3,1,110,92,11,4,1954,2815,304,335,145,196,4,10,8,20,0,4,0,20,11436,12883,0,0,196,162,32,19,447,442,23,23,2066,1655,59,68,153,149,3886,4383,23,12
2004,Southern Miss,Conference USA,209,226,7,7,21,19,10,9,9,10,12,2,1,263,151,9,16,2300,2565,351,362,170,186,16,9,15,19,0,0,0,0,12862,13250,0,0,171,225,28,50,470,476,20,17,1739,2101,60,52,178,171,3915,4512,19,25
2004,Stanford,Pac-10,189,216,2,4,13,15,7,13,13,7,11,0,0,123,171,14,16,3031,2973,409,372,208,222,16,12,9,13,0,0,0,0,11300,12797,1,1,270,356,38,43,353,435,13,14,893,1577,69,62,181,173,3613,4315,21,29
